program,school,level,degree,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Human Development in Context,EDUCATION AND SOCIAL POLICY,program,BSEd,,,,,,,,,,2
Learning and Organizational Change,EDUCATION AND SOCIAL POLICY,program,BSEd,35,63,46,64,66,55,73,73,68,71
Learning Sciences,EDUCATION AND SOCIAL POLICY,program,BSEd,,,,,1,2,7,7,8,7
Secondary Teaching,EDUCATION AND SOCIAL POLICY,program,BSEd,6,10,10,7,8,2,8,12,6,2
Social Policy,EDUCATION AND SOCIAL POLICY,program,BSEd,51,54,41,34,38,30,33,66,45,47
EDUCATION AND SOCIAL POLICY,EDUCATION AND SOCIAL POLICY,school,NA,125,147,130,137,144,106,152,191,156,152
Applied Mathematics,MCCORMICK ENGINEERING,program,BA and BSAM,5,14,7,15,11,15,17,14,8,10
Biomedical Engineering,MCCORMICK ENGINEERING,program,BS,62,64,68,36,35,44,68,62,46,43
Chemical Engineering,MCCORMICK ENGINEERING,program,BS,43,39,42,39,48,44,36,42,29,34
Civil Engineering,MCCORMICK ENGINEERING,program,BS,25,19,14,6,16,13,7,13,16,16
Combined Studies in Engineering,MCCORMICK ENGINEERING,program,BS,,1,1,,,,,,,
Computer Engineering,MCCORMICK ENGINEERING,program,BS,9,15,19,29,10,21,16,24,16,15
Computer Science,MCCORMICK ENGINEERING,program,BS,31,29,29,65,65,86,82,95,107,102
Electrical Engineering,MCCORMICK ENGINEERING,program,BS,18,18,12,13,13,21,14,10,15,11
Environmental Engineering,MCCORMICK ENGINEERING,program,BS,11,9,10,13,7,6,2,12,12,5
Industrial Engineering and Management Science,MCCORMICK ENGINEERING,program,BS,67,79,89,79,100,87,83,87,72,55
Integrated Engineering Studies,MCCORMICK ENGINEERING,program,BS,,,8,,1,6,9,5,6,4
Manufacturing and Design Engineering,MCCORMICK ENGINEERING,program,BS,13,9,18,17,23,19,35,26,25,27
Manufacturing Engineering,MCCORMICK ENGINEERING,program,BS,,,,,,,,,,
Materials Science and Engineering,MCCORMICK ENGINEERING,program,BS,17,17,17,28,27,10,20,14,17,19
Mechanical Engineering,MCCORMICK ENGINEERING,program,BS,54,70,62,66,93,73,83,67,65,72
Medical Engineering,MCCORMICK ENGINEERING,program,BS,,,,,,,,,,
MCCORMICK ENGINEERING,MCCORMICK ENGINEERING,school,NA,355,383,396,406,449,445,472,471,434,413
Journalism,MEDILL JOURNALISM,program,BSJ,168,178,176,143,149,171,178,151,187,185
MEDILL JOURNALISM,MEDILL JOURNALISM,school,NA,168,178,176,143,149,171,178,151,187,185
Medicine,FEINBERG MEDICINE,program,BS,,,1,,,,,,,
FEINBERG MEDICINE,FEINBERG MEDICINE,school,NA,0,0,1,0,0,0,0,0,0,0
Music Education,BIENEN MUSIC,program,B,6,5,3,4,3,5,4,12,3,8
Music,BIENEN MUSIC,program,BA and BS,6,6,5,9,11,11,17,15,9,7
Music Cognition,BIENEN MUSIC,program,BA,,1,,,,3,,1,,
Music Ad-Hoc,BIENEN MUSIC,program,BA,12,8,8,4,2,1,,,1,
Academic Studies,BIENEN MUSIC,program,BMus,,,,,,,,,,
Composition,BIENEN MUSIC,program,BMus,3,1,1,3,4,3,1,5,4,3
Jazz Studies,BIENEN MUSIC,program,BMus,3,3,,2,3,3,1,3,2,4
Music Technology,BIENEN MUSIC,program,BMus,,,,,,,,,,
Music Theory,BIENEN MUSIC,program,BMus,,1,1,2,3,2,1,2,1,2
Musicology,BIENEN MUSIC,program,BMus,,,,1,,,1,,,1
Piano/Organ,BIENEN MUSIC,program,BMus,4,5,4,6,3,2,5,4,4,2
String Instruments,BIENEN MUSIC,program,BMus,10,20,16,15,13,20,9,19,12,12
Voice and Opera,BIENEN MUSIC,program,BMus,10,16,15,17,12,13,15,15,15,17
Wind & Percussion Instruments,BIENEN MUSIC,program,BMus,25,27,15,22,20,18,24,19,22,20
BIENEN MUSIC,BIENEN MUSIC,school,NA,79,93,68,85,74,81,78,95,73,76
TOTAL BACHELORS DEGREES,NA,total,NA,"2,193","2,229","2,195","2,122","2,118","2,140","2,179","2,210","2,144","2,069"
